T [GeV]		heff			          Sqrt[geff]		      Sqrt[g*]
0.00000000001 3.938717600158463	1.8395310940407135	2.141153043250102
1.0000000e-12	3.938717600158463	1.8395310940407135	2.141153043250102
1.0000000e-13	3.938717600158463	1.8395310940407135	2.141153043250102
1.0000000e-14	3.938717600158463	1.8395310940407135	2.141153043250102
1.0000000e-15	3.938717600158463	1.8395310940407135	2.141153043250102
1.0000000e-16	3.938717600158463	1.8395310940407135	2.141153043250102
1.0000000e-17	3.938717600158463	1.8395310940407135	2.141153043250102
1.0000000e-18	3.938717600158463	1.8395310940407135	2.141153043250102
1.0000000e-19	3.938717600158463	1.8395310940407135	2.141153043250102
1.0000000e-20	3.938717600158463	1.8395310940407135	2.141153043250102
1.0000000e-21	3.938717600158463	1.8395310940407135	2.141153043250102
1.0000000e-22	3.938717600158463	1.8395310940407135	2.141153043250102
1.0000000e-23	3.938717600158463	1.8395310940407135	2.141153043250102
1.0000000e-24	3.938717600158463	1.8395310940407135	2.141153043250102
1.0000000e-25	3.938717600158463	1.8395310940407135	2.141153043250102
1.0000000e-26	3.938717600158463	1.8395310940407135	2.141153043250102
1.0000000e-27	3.938717600158463	1.8395310940407135	2.141153043250102
1.0000000e-28	3.938717600158463	1.8395310940407135	2.141153043250102
1.0000000e-29	3.938717600158463	1.8395310940407135	2.141153043250102
1.0000000e-30	3.938717600158463	1.8395310940407135	2.141153043250102
1.0000000e-32	3.938717600158463	1.8395310940407135	2.141153043250102
1.0000000e-34	3.938717600158463	1.8395310940407135	2.141153043250102
1.0000000e-36	3.938717600158463	1.8395310940407135	2.141153043250102
1.0000000e-38	3.938717600158463	1.8395310940407135	2.141153043250102
1.0000000e-40	3.938717600158463	1.8395310940407135	2.141153043250102
